"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1017749,"December 31, 2017",Texas,"Fort Worth","5800 block of Hiett Ct",0,2,N/A
1018424,"December 31, 2017",Utah,Magna,"2665 S 8990 W",2,0,N/A
1019128,"December 31, 2017",California,"West Sacramento","1050 W Capitol Ave",3,0,N/A
1017946,"December 30, 2017",Florida,Sarasota,"2300 Block of University Pkwy",0,3,N/A
1018877,"December 30, 2017",Kansas,Wichita,"1500 block of N Gentry",0,1,N/A
1018940,"December 30, 2017","New York",Attica,"Tooley Rd Exd",0,1,N/A
1016162,"December 28, 2017",Florida,"West Palm Beach","822 S 3rd St",2,0,N/A
1015948,"December 28, 2017",Texas,Greenville,"4200 block of Pickett St",1,0,N/A
1015791,"December 28, 2017",Alabama,Brierfield,"12772 Montevallo Rd",1,0,N/A
1014862,"December 27, 2017",Texas,Killeen,"2700 block of Roadrunner Dr",0,2,N/A
1014780,"December 26, 2017",Pennsylvania,Pittsburgh,"1913 Columbia Ave",2,2,N/A
1014251,"December 25, 2017",Arizona,Phoenix,"1601 East Highland Avenue",3,1,N/A
1013388,"December 23, 2017",Utah,Centerville,"W 1200 N and N 225 W",0,1,N/A
1013428,"December 23, 2017",Pennsylvania,Pittsburgh,"7000 block of Hermitage St",0,1,N/A
1013165,"December 22, 2017",Maryland,Aquasco,"15500 block of St Phillips Rd",1,0,N/A
1073852,"December 22, 2017",Ohio,Warren,"Perkinswood Ave SE",0,1,N/A
1012760,"December 22, 2017",Missouri,"Kansas City","1900 E 83rd Terrace",0,1,N/A
1012895,"December 22, 2017",Pennsylvania,Philadelphia,"5900 block of Springfield Ave",0,1,N/A
1011595,"December 21, 2017",Texas,Schertz,"125 Nu Pecan Grove",2,0,N/A
1011585,"December 21, 2017","North Carolina",Charlotte,"5712 Leake St",0,2,N/A
1012041,"December 21, 2017",Virginia,Roanoke,"7200 block of Bradshaw",0,1,N/A
1010906,"December 19, 2017",Illinois,Chicago,"8100 S Coles Ave",0,1,N/A
1010619,"December 19, 2017",Ohio,Cleveland,"15504 Waterloo Rd",0,3,N/A
1010411,"December 18, 2017",Tennessee,Memphis,"Lamar Ave and South Trezevant St",0,1,N/A
1010099,"December 18, 2017",Florida,"Dade City","Center St and Old Sparkman Rd",0,1,N/A
1008814,"December 16, 2017","District of Columbia",Washington,"2500 block of Pomeroy Rd SE",0,1,N/A
1009343,"December 16, 2017","South Carolina",Turbeville,"Mickey St",0,2,N/A
1008345,"December 15, 2017",Arizona,Buckeye,"1422 S 230th Avenue",1,0,N/A
1008570,"December 15, 2017",Florida,Miami,"11341 SW 216th St",1,0,N/A
1008310,"December 15, 2017",California,Pacoima,"13041 Jouett Street",0,5,N/A
1007718,"December 14, 2017",Tennessee,Nashville,"2402 26th Ave N",0,1,N/A
1007054,"December 13, 2017",Ohio,Columbus,"200 block of E Barthman Ave",1,3,N/A
1007370,"December 11, 2017",Texas,Austin,"8000 block of El Dorado Dr",2,0,N/A
1005355,"December 10, 2017",Utah,"Roosevelt (Ballard)",N/A,1,0,N/A
1005517,"December 10, 2017",Iowa,"Iowa City","Prairie du Chien Rd NE and 320th St NE",0,1,N/A
