Incident ID	Incident Date	State	City Or County	Address	# Killed	# Injured	Operations	Incidence type
1892180	December 31, 2020	Kentucky	Lexington	400 block of East Sixth St	0	1		children
1896728	December 31, 2020	Texas	Houston	9601 W Montgomery Rd	0	1		children
1891683	December 31, 2020	Indiana	Richmond	200 block of NW 13th St	0	1		children
1889554	December 29, 2020	Mississippi	Tunica	2661 Old Hwy 61 N	0	1		children
1889258	December 29, 2020	Mississippi	Canton	623 Chestnut Alley	2	1		children
1889279	December 28, 2020	Tennessee	Memphis	3995 S 3rd St	0	3		children
1889195	December 28, 2020	Louisiana	Ville Platte	100 block of E Cotton St	0	1		children
1889232	December 28, 2020	Colorado	Denver	2969 S Federal Blvd	0	2		children
1888255	December 27, 2020	Tennessee	Nashville	400 block of Harding Pl	0	2		children
1913209	December 27, 2020	Georgia	Clarkston	3629 Montreal Creek Cir	0	2		children
1887273	December 26, 2020	Texas	Killeen	700 block of Houston St	1	1		children
1887179	December 26, 2020	Michigan	Flint	600 block of E Pulaski Ave	2	0		children
1887259	December 26, 2020	Texas	Spring	19500 block of Lockridge Dr	1	1		children
1887635	December 26, 2020	Florida	Tallahassee	2500 block of Holton St	0	1		children
1886649	December 25, 2020	Ohio	Cincinnati	Cloister Dr	0	1		children
1886948	December 25, 2020	Missouri	Saint Louis (Spanish Lake)	1500 block of Lakeside Ln	2	0		children
1886961	December 25, 2020	Pennsylvania	Philadelphia	5800 block of Morton St	0	2		children
1886441	December 25, 2020	Georgia	Macon	4416 Mumford Rd	0	1		children
1886721	December 25, 2020	Arkansas	Atkins	5180 Pine Ridge Rd	5	0		children
1886954	December 25, 2020	Missouri	Saint Louis	Ashland Ave and Lambdin Ave	0	2		children
1914622	December 25, 2020	New York	Albany	200 block of Delaware Ave	0	1		children
1885137	December 23, 2020	Arkansas	Little Rock	5801 Dreher Ln	0	1		children
1885126	December 23, 2020	Iowa	Cedar Rapids	208 7th St SW	0	1		children
1885378	December 23, 2020	Minnesota	Saint Paul	850 Rice St	1	0		children
1885130	December 23, 2020	Kentucky	Louisville	251 Bigwood Way	1	1		children
1885840	December 23, 2020	Georgia	Savannah	White Bluff Rd and Hampstead Ave	0	1		children
1883967	December 22, 2020	Virginia	Portsmouth	Portsmouth Blvd and Truxton Ave	1	1		children
1883818	December 21, 2020	Georgia	Atlanta	3440 Peachtree Rd	1	0		children
1883003	December 21, 2020	Maryland	Greenbelt	Baltimore-Washington Pkwy	0	1		children
1883515	December 21, 2020	Tennessee	Memphis	Morningside St and Marsha Ave	0	3		children
1883348	December 21, 2020	Kentucky	Lexington	200 block of Catera Trace	0	2		children
1883355	December 21, 2020	Kentucky	Louisville	3237 Utah Ave	0	1		children
1882264	December 20, 2020	Texas	Fort Worth		0	1		children
1882311	December 20, 2020	Kentucky	Mayfield	198 Smiths Ln	4	0		children
1881791	December 19, 2020	Arizona	Tucson	10997 E Palmetto Pointe Trl	2	0		children
1882427	December 19, 2020	Illinois	Decatur	2400 block of E William St	0	2		children
1881609	December 19, 2020	Louisiana	New Orleans	1100 block of Piety St	0	3		children
1881004	December 18, 2020	Texas	Houston	6500 block of Dunlap St	0	1		children
1880054	December 17, 2020	Texas	New Braunfels	504 Wilderness Way	2	1		children
1881628	December 17, 2020	New York	Kingston	60 Van Buren St	1	1		children
1879827	December 16, 2020	Nevada	Las Vegas	1300 block of S Arlington St	1	0		children
1879300	December 16, 2020	North Carolina	Charlotte	900 block of Davenport St	0	1		children
1878745	December 15, 2020	Indiana	Fairmount	1500 block of N Main St	1	0		children
1879707	December 15, 2020	Idaho	Castleford		1	0		children
1878564	December 15, 2020	Michigan	Canton	41000 block of Old Michigan Ave	1	0		children
1878608	December 15, 2020	Louisiana	New Orleans	Orleans Ave and I-10	0	2		children
1877707	December 14, 2020	District of Columbia	Washington	1500 block of Good Hope Rd SE	0	1		children
1878031	December 14, 2020	Utah	Vernal	W Red Cloud Loop Rd	1	1		children
1881433	December 14, 2020	District of Columbia	Washington	18th St SE and T St SE	0	1		children
1877224	December 14, 2020	Florida	Cocoa	1671 Owosso St	1	0		children
1877441	December 14, 2020	Connecticut	Hartford	88 Vine St	0	1		children
1876727	December 13, 2020	West Virginia	Elkview	1384 Cemetery Hill Dr	4	0		children
1876620	December 12, 2020	Maryland	Baltimore	4100 block of Frederick Ave	0	1		children
1875480	December 12, 2020	Ohio	Cincinnati	5000 block of Winneste Ave	0	1		children
1876057	December 11, 2020	North Carolina	Conover	Woodleaf Ct	1	0		children
1875917	December 11, 2020	South Carolina	Columbia	210 Roland St	0	1		children
1876009	December 11, 2020	Tennessee	Bethpage	1123B Smith Thompson Rd	3	0		children
1874575	December 10, 2020	Arkansas	Little Rock	33 Falcon Ct	1	0		children
1874381	December 10, 2020	Michigan	Detroit	10500 block of Morang Ave	0	1		children
1873876	December 8, 2020	Ohio	Zanesville	2654 Darlington Dr	0	1		children
1908063	December 8, 2020	West Virginia	Williamsburg	611 Flynns Creek Rd	6	0		children
1873798	December 8, 2020	Louisiana	Lacombe	28399 Palmer Dr	2	3		children
1871950	December 7, 2020	California	Oakland	2100 block of 25th Ave	0	1		children
1872602	December 7, 2020	Texas	Denison	1200 block of W Crawford St	0	2		children
1877996	December 7, 2020	Missouri	Cadet	11928 Arnault Branch Rd	2	0		children
1871099	December 6, 2020	Ohio	Columbus	800 block of East Dublin Granville Rd	0	1		children
1871569	December 6, 2020	Tennessee	Memphis	324 N Bellevue Blvd	0	1		children
1870063	December 5, 2020	Kentucky	Louisville	West Oak St and Dr. W. J. Hodge St	1	1		children
1869954	December 5, 2020	Alabama	Birmingham (Forestdale)	1400 block of Cherry Ave	0	1		children
1870550	December 5, 2020	Maryland	Gaithersburg	19400 block of Brassie Pl	0	1		children
1870215	December 5, 2020	Louisiana	New Orleans	7800 block of Venice Blvd	0	1		children
1869478	December 4, 2020	Ohio	Columbus	300 block of Seemic Cir	0	1		children
1869439	December 4, 2020	Georgia	Lithonia	1800 block of Madras Ct	1	0		children
1869540	December 4, 2020	Illinois	Kankakee	1300 block of West Station St	1	1		children
1869767	December 4, 2020	Florida	Gainesville	2900 block of NE 17th Dr	2	0		children
1868496	December 3, 2020	Alabama	Holly Pond		0	1		children
1868753	December 2, 2020	Pennsylvania	Levittown	1970 Veteran Hwy	1	0		children
1867748	December 2, 2020	California	Woodbridge	330 Sterling St	1	0		children
1867713	December 2, 2020	District of Columbia	Washington	5700 block of Southern Ave SE	1	0		children
1870351	December 2, 2020	Ohio	Cleveland	2200 block of E 69th St	0	1		children
1867864	December 2, 2020	Washington	Federal Way	35700 16th Ave S	0	1		children
1866100	November 30, 2020	Alaska	Palmer	335 N Valley Way	4	0		children
1864949	November 29, 2020	California	Roseville	1500 block of Eureka Rd	2	0		children
1897353	November 29, 2020	Nevada	Las Vegas	6253 Mythic Atlantis Ave	1	0		children
1863506	November 27, 2020	Texas	Longview	800 block of Birdsong St	0	2		children
1864309	November 27, 2020	Georgia	West Point	1200 block of E 13th St	0	1		children
1863488	November 27, 2020	Alabama	Russellville	43 Isbell Loop	0	1		children
1863605	November 27, 2020	Georgia	Stone Mountain	4700 block of Brasac Dr	0	2		children
1864363	November 27, 2020	North Carolina	Durham	US-501 and W Cornwallis Rd	0	1		children
1862683	November 26, 2020	Michigan	Grand Blanc	5800 Maplebrook Ln	0	1		children
1862423	November 26, 2020	New York	Syracuse	1400 block of Butternut St	0	1		children
1862866	November 26, 2020	South Carolina	Mullins	N Dogwood Dr	0	1		children
1862126	November 25, 2020	Kansas	Garden City	1307 N 12th St	1	1		children
1861350	November 24, 2020	Louisiana	New Orleans	2500 block of N Prieur St	0	2		children
1860886	November 24, 2020	Illinois	Chicago	6900 block of S Calumet Ave	0	1		children
1861355	November 24, 2020	Pennsylvania	Philadelphia	E Allegheny Ave and Kensington Ave	0	1		children
1862135	November 24, 2020	Ohio	Cleveland	E 131st St and Harvard Ave	0	1		children
1861453	November 24, 2020	Alabama	Decatur	1605 Beltline Rd SW	0	1		children
1861379	November 24, 2020	Texas	Forney	2100 block of Juniper Dr	1	1		children
1859134	November 22, 2020	Tennessee	Memphis	5261 Shelborne Cir	1	0		children
1861156	November 22, 2020	Indiana	Gary	Fillmore St and W 7th Ave	0	1		children
1859979	November 22, 2020	Illinois	East Saint Louis	800 block of N 24th St	0	1		children
1859726	November 22, 2020	South Carolina	Greenville	100 Crestwood Forest Dr	0	1		children
1861163	November 21, 2020	Indiana	Gary	4700 block of Johnson St	0	1		children
1860102	November 21, 2020	Alabama	Mobile	1200 block of Athey Rd	0	1		children
1857954	November 20, 2020	Arizona	Phoenix	16th St and Southern Ave	0	1		children
1856995	November 20, 2020	Virginia	Marion	117 Harley Rd	4	0		children
1862123	November 19, 2020	Kansas	Ulysses	1500 block of Oklahoma Ave	0	1		children
1855833	November 18, 2020	Nevada	Elko		1	0		children
1855978	November 18, 2020	Texas	Texarkana	600 block of Warren Thomas Rd	1	0		children
1855008	November 18, 2020	Missouri	Saint Louis	4090 Quincy St	2	0		children
1855707	November 18, 2020	Florida	Opa Locka	13180 Port Said Rd	0	2		children
1855512	November 18, 2020	Ohio	Columbus	7310 Carson Ave	0	1		children
1853959	November 17, 2020	Kentucky	Louisville	10800 block of Sparrow Cir	0	1		children
1854510	November 17, 2020	Tennessee	Johnson City	121 Blevins Rd	1	0		children
1854149	November 16, 2020	Florida	Miami	200 block of S Biscayne River Dr	0	4		children
1854054	November 16, 2020	Illinois	Chicago	200 block of W 115th St	0	1		children
1853802	November 16, 2020	Ohio	Columbus	2047 Bancroft St	0	1		children
1853057	November 15, 2020	Washington	Tacoma	8800 block of S Sheridan Ave	0	1		children
1851904	November 14, 2020	South Carolina	North Charleston	2155 Morris Baker Blvd	1	0		children
1851961	November 13, 2020	Missouri	Independence	S Sterling Ave and E US Hwy 40	0	1		children
1852658	November 13, 2020	North Carolina	Leland	1664 Lincoln Rd NE	0	1		children
1851810	November 13, 2020	Connecticut	Plymouth	104 N Main St	1	1		children
1852963	November 13, 2020	Minnesota	Saint Cloud	800 block of 10th Ave N	1	0		children
1850779	November 12, 2020	Pennsylvania	Philadelphia	1100 block of W Somerset St	1	1		children
1850685	November 11, 2020	North Carolina	Candor		1	0		children
1849576	November 11, 2020	Wisconsin	Milwaukee	N 25th St and W Chambers St	0	2		children
1848942	November 9, 2020	California	Oakland	600 block of MacArthur Blvd	0	2		children
1847683	November 9, 2020	Kentucky	Louisville	3400 block of W Muhammad Ali Blvd	0	1		children
1848200	November 9, 2020	Texas	Dallas	2836 E Overton Rd	0	2		children
1847065	November 9, 2020	Indiana	Indianapolis	1200 block of Racquet Club N Dr	0	1		children
1848216	November 9, 2020	Michigan	Detroit	4200 block of Tyler Ave	0	1		children
1846712	November 8, 2020	Virginia	Virginia Beach	3700 block of Whitney Ct	0	4		children
1847638	November 8, 2020	North Carolina	Raleigh	New Bern Ave and Old Milburnie Rd	0	1		children
1847063	November 7, 2020	Georgia	Atlanta (East Point)	Bell Rd	1	0		children
1850403	November 6, 2020	Washington	Edmonds	18900 block of 86th Pl W	0	1		children
1845651	November 6, 2020	South Carolina	North Charleston	1900 block of Success St	0	1		children
1845679	November 6, 2020	Iowa	Cedar Rapids	4444 1st Ave NE	0	1		children
1844808	November 5, 2020	Indiana	Indianapolis	4800 block of Oakwood Trail	0	1		children
1844608	November 5, 2020	Ohio	Toledo	1000 block of Harding Dr	0	1		children
1843377	November 4, 2020	Louisiana	Baton Rouge	5600 block of Kilona Dr	0	1		children
1843500	November 4, 2020	Delaware	New Castle	50 block of Rose Ln	0	2		children
1843416	November 4, 2020	Ohio	Cleveland	3200 block of W 54th St	0	1		children
1842860	November 3, 2020	Pennsylvania	Philadelphia	1800 block of N 6th St	0	1		children
1841102	November 2, 2020	Mississippi	Senatobia	Line St	0	1		children
1841831	November 2, 2020	Oregon	Redmond	2300 block of SW 20th Ct	0	1		children
1839597	October 31, 2020	Alabama	Birmingham	1600 Montclair Rd	0	1		children
1839663	October 31, 2020	New York	New York (Manhattan)	130 Lenox Ave	0	3		children
1839172	October 30, 2020	California	San Mateo	1600 block of Eleanor Dr	1	1		children
1839124	October 30, 2020	Missouri	Saint Louis	I-70 and Kingshighway Blvd	0	1		children
1839163	October 30, 2020	Ohio	Akron	900 block of McKinley Ave	0	1		children
1838373	October 30, 2020	North Carolina	Concord	1080 Ramsgate Dr SW	1	0		children
1839242	October 30, 2020	Michigan	Detroit	15800 block of Kentucky Ave	1	0		children
1837831	October 29, 2020	Tennessee	Memphis	Berta Rd	0	1		children
1838382	October 29, 2020	Alabama	Birmingham	3228 Westbrook Dr	0	1		children
1837957	October 28, 2020	Michigan	Detroit	3900 block of Bedford St	1	0		children
1838147	October 28, 2020	North Carolina	Winston Salem (Winston-salem)	500 block of Dunleith Ave	0	1		children
1836243	October 27, 2020	Mississippi	Jackson	3000 block of Marwood Dr	0	1		children
1836528	October 27, 2020	Michigan	Detroit	1500 block of Fordham St	0	1		children
1837291	October 27, 2020	Mississippi	Roxie	Whiteapple Rd	1	1		children
1834953	October 26, 2020	Michigan	Detroit	10700 block of Wayburn St	0	1		children
