"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2310278,"May 24, 2022",Texas,Uvalde,"715 Old Carrizo Rd",22,17,N/A
2311123,"May 23, 2022",Ohio,Cleveland,"St Clair Ave and E 152nd St",0,5,N/A
2309711,"May 23, 2022","South Carolina","North Charleston","7550 Dorchester Rd",0,5,N/A
2308096,"May 21, 2022",Indiana,Goshen,"1204 Rosemare Ct",2,3,N/A
2308395,"May 21, 2022",Washington,Tacoma,"S Yakima Ave and South 56th St",0,4,N/A
2307631,"May 20, 2022",Florida,Kissimmee,"2331 Old Dixie Hwy",1,3,N/A
2308017,"May 20, 2022",California,Highland,"3606 Highland Ave",1,8,N/A
2307813,"May 20, 2022",Louisiana,"New Orleans","St. Claude Ave and Forstall St",1,3,N/A
2307044,"May 19, 2022",Illinois,Chicago,"800 block of N State St",2,7,N/A
2306277,"May 18, 2022",Pennsylvania,Philadelphia,"1500 block of Bouvier St",0,5,N/A
2305208,"May 17, 2022",California,"Palo Alto (East Palo Alto)","2500 block of Fordham St",1,3,N/A
2302847,"May 15, 2022",California,"Laguna Woods","24301 El Toro Rd",1,5,N/A
2303130,"May 15, 2022","North Carolina","Winston Salem (Winston-salem)","2000 block of 25th St",0,7,N/A
2304029,"May 15, 2022","North Carolina","Elizabeth City","901 S Martin Luther King Jr Dr",0,4,N/A
2302740,"May 15, 2022",Texas,Houston,"8729 Airline Dr",2,3,N/A
2303337,"May 15, 2022",Texas,Amarillo,"1003 N Fillmore St",1,4,N/A
2301751,"May 14, 2022","New York",Buffalo,"1275 Jefferson Ave",10,3,N/A
2301494,"May 13, 2022",Wisconsin,Milwaukee,"Water St and Juneau Ave",0,17,N/A
2300713,"May 12, 2022",Arkansas,"Hot Springs National Park (Hot Springs)","134 Convention Blvd",1,4,N/A
2299660,"May 11, 2022",Illinois,Chicago,"6800 block of S Ashland Ave",0,4,N/A
2299793,"May 11, 2022",Missouri,"Saint Louis","5000 block of N Kingshighway Blvd",1,3,N/A
2299126,"May 11, 2022",Indiana,Indianapolis,"701 Canal Walk",0,4,N/A
2300830,"May 11, 2022","New Jersey",Paterson,"36 Essex St",1,4,N/A
2298872,"May 10, 2022",Maryland,Baltimore,"2800 block of Boarman Ave",0,5,N/A
2298836,"May 10, 2022",Illinois,Chicago,"4800 block of S Ada St",1,4,N/A
2299407,"May 10, 2022",Illinois,Chicago,"6400 block of S Richards Dr",0,6,N/A
2298519,"May 10, 2022",Pennsylvania,Philadelphia,"Allegheny Ave and G St",0,4,N/A
2298591,"May 10, 2022",Maryland,Baltimore,"700 block of N Rose St",1,3,N/A
2299176,"May 10, 2022",Texas,Brookshire,"Purdy and 4th St",1,3,N/A
2297823,"May 9, 2022",Michigan,Detroit,"12600 block of McCoy Cir",0,4,N/A
2298092,"May 9, 2022",Alabama,Tuscaloosa,"4420 21st St",0,5,N/A
2297261,"May 8, 2022",Georgia,Clarkston,"6500 block of Old Hampton Dr",3,3,N/A
2296191,"May 7, 2022",Kentucky,Lexington,"1560 LaSalle Rd",2,3,N/A
2296808,"May 7, 2022",Texas,Garland,"800 block of Magnolia Dr",2,2,N/A
2296224,"May 7, 2022",Florida,Miami,"NW 37th St and NW 32nd Ave",0,4,N/A
2296037,"May 6, 2022",Louisiana,"New Orleans","4800 block of Alcee Fortier Blvd",2,4,N/A
2296064,"May 5, 2022",Washington,Sunnyside,"613 S 6th St",0,5,N/A
2293603,"May 3, 2022",Louisiana,"Baton Rouge","2100 block of North 39th St",0,5,N/A
2294515,"May 3, 2022",Kansas,"Cowley (county)",N/A,0,4,N/A
2294477,"May 3, 2022",Texas,Beaumont,"3580 S Martin Luther King Jr Pkwy",0,5,N/A
2291712,"May 1, 2022",Louisiana,Lafayette,"500 Jefferson St",0,12,N/A
2291578,"May 1, 2022",Ohio,Springfield,"Clifton Ave and Rice St",1,4,N/A
2292452,"May 1, 2022",Florida,"Tarpon Springs","Safford Ave and Boyer St",0,6,N/A
2292613,"May 1, 2022","South Carolina","North Charleston","US-52 and Ashley Phosphate Rd",1,3,N/A
2291618,"April 30, 2022",Georgia,Atlanta,"445 Cleveland Ave SE",1,4,N/A
2291470,"April 30, 2022",Mississippi,Jackson,"1207 Mississippi Street",1,5,N/A
2291185,"April 29, 2022",Tennessee,Jackson,"310 North Pkwy",2,2,N/A
2290903,"April 29, 2022",Louisiana,"New Orleans","3201 Magazine St",0,6,N/A
2291534,"April 29, 2022",Mississippi,Laurel,"Ferrell St and Poplar Dr",0,4,N/A
2290026,"April 28, 2022",Alabama,Bessemer,"1800 block of Berkley Ave",1,3,N/A
2288928,"April 27, 2022",Illinois,Chicago,"4400 block of W Jackson Blvd",0,4,N/A
2289308,"April 27, 2022",Louisiana,Opelousas,"700 block of Mia St",2,3,N/A
2288842,"April 27, 2022",Mississippi,Biloxi,"2688 Beach Blvd",4,0,N/A
2289610,"April 27, 2022",Texas,"San Antonio","3399 Wurzbach Rd",0,5,N/A
2289382,"April 27, 2022",Arizona,Phoenix,"6719 W Thomas Rd",0,4,N/A
2287581,"April 25, 2022",Alabama,Birmingham,"821 3rd Ave W",1,3,N/A
2286363,"April 24, 2022","South Carolina","Myrtle Beach","12th Ave N and Withers Alley",1,3,N/A
2286061,"April 24, 2022",Indiana,Lafayette,"2905 Westchester Ln W",2,4,N/A
2285772,"April 23, 2022",Illinois,Chicago,"2000 block of W 51st St",2,2,N/A
2285612,"April 23, 2022","North Carolina","Rocky Mount","1171 Jefferies Rd",0,4,N/A
