"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1892220,"December 31, 2020",Virginia,Culpeper,"600 block of 3rd St",1,1,N/A
1891541,"December 31, 2020",Texas,Houston,"2101 Parker Rd",1,0,N/A
1891282,"December 31, 2020",Illinois,Chicago,"300 block of E Pershing Rd",0,1,N/A
1896724,"December 31, 2020",Texas,Houston,"3300 block of McGowen St",0,1,N/A
1891371,"December 31, 2020",Pennsylvania,Philadelphia,"1900 block of 68th Ave",1,0,N/A
1891626,"December 31, 2020",Ohio,Columbus,I-270,0,3,N/A
1894110,"December 31, 2020",Pennsylvania,Philadelphia,"600 block of W Allegheny Ave",0,1,N/A
1891714,"December 31, 2020",Missouri,Independence,"18801 E 39th St S",0,1,N/A
1890823,"December 31, 2020",Illinois,Chicago,"6200 block of N Manheim Rd",0,1,N/A
1891545,"December 31, 2020",Texas,Houston,"600 block of Kiley Dr",1,0,N/A
1891337,"December 30, 2020",Texas,"Fort Worth","5800 block of Trail Lake Dr",1,0,N/A
1891160,"December 30, 2020",Michigan,"South Lyon","300 block of E Liberty St",2,0,N/A
1890204,"December 30, 2020",Illinois,Chicago,"6100 block of S Racine Ave",0,1,N/A
1891114,"December 30, 2020",Mississippi,Sturgis,"Oswalt Rd",0,1,N/A
1890698,"December 30, 2020",Tennessee,Knoxville,"1709 Moses Ave",0,1,N/A
1890955,"December 30, 2020",Nevada,Reno,"10585 Stead Blvd",0,1,N/A
1890881,"December 30, 2020",Missouri,Riverside,"4801 Homestead Rd",0,1,N/A
1900878,"December 30, 2020",Louisiana,"New Orleans","8700 block of Gervais St",0,2,N/A
1890728,"December 30, 2020",Delaware,Wilmington,"500 block of E 8th St",0,1,N/A
1890634,"December 29, 2020",Louisiana,"Baton Rouge","1700 block of Denver Dr",0,2,N/A
1932173,"December 29, 2020",California,Barstow,"500 block of W Fredrick’s St",0,1,N/A
1889981,"December 29, 2020",Florida,Pensacola,"34 Patton Dr",1,1,N/A
1895651,"December 29, 2020",Mississippi,Mccomb,"1700 block of Earl St",1,0,N/A
1889712,"December 28, 2020",Texas,Galveston,"3700 block of Ball St",1,0,N/A
1889239,"December 28, 2020",Minnesota,Cloquet,"3609 Giiniw Rd",1,0,N/A
1888932,"December 28, 2020",Pennsylvania,Philadelphia,"1200 block of S 51st St",2,0,N/A
1888331,"December 28, 2020",Missouri,"Saint Louis","1000 block of Hamilton Ave",0,1,N/A
1888870,"December 28, 2020",Ohio,Columbus,"2097  E Livingston Ave",2,0,N/A
1888851,"December 28, 2020",Texas,Houston,"8000 block of Cook Rd",1,0,N/A
1888887,"December 28, 2020",Oregon,Gresham,"NE 172nd Ave and E Burnside St",0,1,N/A
1889865,"December 28, 2020",Ohio,Columbus,"3336 Penfield Rd",0,1,N/A
